Variable name,Type,Description,
df_beers,Data Frame,Beers dataset,
df_breweries_2,Data Frame,Brewery dataset,
df_beers_unp,Data Frame,Beers dataset Unpolluted(After making the correction of missing values), 
df_beerbre_unp,Data Frame,Beer and Brewery DataFrame merged,
df_beerbre_unp_1,Data Frame,Beer and Brewery DataFrame merged and IPA Category,
df_beerbre_unp_2,Data Frame,Beer and Brewery DataFrame merged and IPA Category,
df_brewerybystate,Data Frame,Number of breweries by State,
df_usa_states_0,Data Frame,"USA States(Lat,Long,Description, Abbreviation)",
df_berbrew_bystate,Data Frame,Number of breweries by State(Top 5),
df_berbrew_bystate_1,Data Frame,Number of breweries by State(Top 5) Lat Long,
df_avg_ibuabv_bystate,Data Frame,Median IBU and ABV by state,
df_habv_bystate_0,Data Frame,Highest ABV by State,
df_habv_bystate_1,Data Frame,Top 5 ABV State,
df_hibu_bystate_0,Data Frame,Top 5 IBU State,
df_pobeers_bystate,Data Frame,Popular beers by State,
df_pobeers_bystate_1,Data Frame,Number of beers by State,
